category,key,description,zh-CN.speaker,zh-CN.text,en.speaker,en.text,ja.speaker,ja.text,note
ui,ui.toast.all_saves_deleted,?????????,,本地存档已删除。,,Local saves deleted.,,ローカルセーブを削除しました。,
ui,ui.toast.auto_on,??????,,自动播放：开,,Auto: On,,オート：オン,
ui,ui.toast.auto_off,??????,,自动播放：关,,Auto: Off,,オート：オフ,
ui,ui.toast.skip_on,??????,,跳过：开,,Skip: On,,スキップ：オン,
ui,ui.toast.skip_off,??????,,跳过：关,,Skip: Off,,スキップ：オフ,
ui,ui.toast.reloaded_story,????????,,已热重载剧本表。,,Story table hot-reloaded.,,シナリオ表をホットリロードしました。,
ui,ui.toast.reloaded_explore,?????????,,已热重载探索点。,,Explore hotspots hot-reloaded.,,探索ポイントをホットリロードしました。,
ui,ui.toast.reloaded_text,????????,,已热重载文案。,,Text hot-reloaded.,,文言をホットリロードしました。,
ui,ui.toast.cannot_save_on_title,?????????,,标题界面不能存档。,,Cannot save on the title screen.,,タイトル画面ではセーブできません。,
ui,ui.toast.empty_slot,??????,,槽位 {0} 没有存档。,,Slot {0} has no save.,,スロット {0} にセーブはありません。,
ui,ui.toast.no_languages,????????,,尚未配置多语言表。,,No languages configured.,,言語設定がありません。,
ui,ui.toast.language_changed,???????,,语言预设：{0},,Language: {0},,言語：{0},
explore,explore.bed,??????,,床铺,,Bed,,ベッド,
explore,explore.desk,??????,,书桌,,Desk,,机,
explore,explore.living_room,??????,,去客厅,,To Living Room,,リビングへ,
explore,explore.entry,??????,,去玄关,,To Entryway,,玄関へ,
explore,explore.tv,??????,,电视,,TV,,テレビ,
explore,explore.back_to_bedroom,??????,,回卧室,,Back to Bedroom,,寝室へ戻る,
explore,explore.front_door,??????,,大门,,Front Door,,玄関ドア,
explore,explore.entry_to_living,??????,,回客厅,,Back to Living Room,,リビングへ戻る,
story,node.prologue_001,??????,旁白,我在一间陌生的房间里醒来。空气很轻，像纸面上还没有落稳的线。,Narration,"I woke in an unfamiliar room. The air felt weightless, like lines not yet settled on paper.",地の文,見知らぬ部屋で目を覚ました。空気は軽く、紙の上にまだ定着していない線のようだった。,
story,node.prologue_002,??????,我,这里不像梦。至少，梦不会把床头柜上的数字钟也画得这么认真。,Me,This does not feel like a dream. Dreams do not usually draw the digital clock on the nightstand this carefully.,私,夢とは思えない。少なくとも、夢ならベッド脇のデジタル時計までこんなに丁寧には描かない。,
story,node.prologue_003,??????,旁白,我应该先看看四周。,Narration,I should look around first.,地の文,まずは周りを調べたほうがよさそうだ。,
story,node.bed_001,??????,我,床铺很整齐。枕头上有一点浅浅的凹陷，像是有人刚从这里坐起。,Me,"The bed is neatly made. There is a shallow dent in the pillow, as if someone just sat up from here.",私,ベッドはきれいに整っている。枕には浅いくぼみがあり、誰かが今しがた起き上がったように見える。,
story,node.bed_002,??????,旁白,你记住了第一个线索：醒来的地方。,Narration,You remember the first clue: the place where you woke up.,地の文,最初の手がかりを覚えた。目覚めた場所。,
story,node.desk_001,??????,我,书桌上放着一本摊开的笔记。最后一行写着：不要急着开门。,Me,An open notebook lies on the desk. The last line says: Do not rush to open the door.,私,机の上には開かれたノートがある。最後の行には「急いでドアを開けるな」と書かれていた。,
story,node.desk_002,??????,旁白,右上角的“存档”可以保存当前进度；“自动”和“跳过”可以控制对话节奏。,Narration,Save in the upper right stores your progress. Auto and Skip control the dialogue pace.,地の文,右上の「セーブ」で現在の進行を保存できる。「オート」と「スキップ」で会話のテンポを調整できる。,
story,node.living_001,??????,旁白,视线穿过房门，客厅安静得像展示用的样板间。,Narration,"Beyond the doorway, the living room is as quiet as a showroom.",地の文,ドアの向こうのリビングは、展示用のモデルルームのように静かだった。,
story,node.living_002,??????,我,电视没有打开。黑色屏幕里只映出我的轮廓。,Me,The TV is off. The black screen reflects only my silhouette.,私,テレビはついていない。黒い画面には自分の輪郭だけが映っている。,
story,node.entry_001,??????,旁白,玄关的门关着。锁舌严丝合缝，旁边贴着一张小纸条。,Narration,"The entry door is shut. The latch fits perfectly, and a small note is stuck beside it.",地の文,玄関のドアは閉まっている。錠前はぴたりとかみ合い、その横に小さな紙片が貼られていた。,
story,node.entry_002,??????,纸条,门的答案不是数字，是你醒来的地方。,Note,The door's answer is not a number. It is the place where you woke up.,メモ,ドアの答えは数字ではない。あなたが目覚めた場所だ。,
choice,choice.entry_002.01,????,,回答：BED,,Answer: BED,,答える：BED,
choice,choice.entry_002.02,????,,线索还不够，继续探索,,Not enough clues. Keep exploring.,,手がかりが足りない。探索を続ける,
choice,choice.entry_002.03,????,,保存当前进度,,Save current progress,,現在の進行を保存,
story,node.ending_001,??????,我,是床。我醒来的地方，也是这个房间留给我的答案。,Me,The bed. The place where I woke up is the answer this room left for me.,私,ベッドだ。目覚めた場所こそ、この部屋が残した答えだった。,
story,node.ending_002,??????,旁白,门锁轻轻响了一声。线稿外的世界，还没有被画出来。,Narration,The lock clicked softly. The world beyond the line art has not been drawn yet.,地の文,鍵が小さく鳴った。線画の外の世界は、まだ描かれていない。,
choice,choice.ending_002.01,????,,回到标题,,Return to Title,,タイトルへ戻る,
choice,choice.ending_002.02,????,,继续探索,,Keep Exploring,,探索を続ける,
