category,key,description,zh-CN.speaker,zh-CN.text,en.speaker,en.text,ja.speaker,ja.text,note
story,node.prologue_002,剧情测试占位 02,测试角色,中文测试占位文案 02：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 02: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 02：本文表示、折り返し、ホットリロード確認用。,
story,node.prologue_003,剧情测试占位 03,测试角色,中文测试占位文案 03：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 03: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 03：本文表示、折り返し、ホットリロード確認用。,
story,node.bed_001,剧情测试占位 04,测试角色,中文测试占位文案 04：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 04: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 04：本文表示、折り返し、ホットリロード確認用。,
story,node.bed_002,剧情测试占位 05,测试角色,中文测试占位文案 05：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 05: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 05：本文表示、折り返し、ホットリロード確認用。,
story,node.desk_001,剧情测试占位 06,测试角色,中文测试占位文案 06：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 06: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 06：本文表示、折り返し、ホットリロード確認用。,
story,node.desk_002,剧情测试占位 07,测试角色,中文测试占位文案 07：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 07: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 07：本文表示、折り返し、ホットリロード確認用。,
story,node.living_001,剧情测试占位 08,测试角色,中文测试占位文案 08：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 08: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 08：本文表示、折り返し、ホットリロード確認用。,
story,node.living_002,剧情测试占位 09,测试角色,中文测试占位文案 09：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 09: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 09：本文表示、折り返し、ホットリロード確認用。,
story,node.entry_001,剧情测试占位 10,测试角色,中文测试占位文案 10：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 10: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 10：本文表示、折り返し、ホットリロード確認用。,
story,node.entry_002,剧情测试占位 11,测试角色,中文测试占位文案 11：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 11: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 11：本文表示、折り返し、ホットリロード確認用。,
choice,choice.entry_002.01,选项测试占位 01,,中文选项占位 01,,English choice placeholder 01,,日本語選択肢仮文 01,
choice,choice.entry_002.02,选项测试占位 02,,中文选项占位 02,,English choice placeholder 02,,日本語選択肢仮文 02,
choice,choice.entry_002.03,选项测试占位 03,,中文选项占位 03,,English choice placeholder 03,,日本語選択肢仮文 03,
story,node.ending_001,剧情测试占位 12,测试角色,中文测试占位文案 12：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 12: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 12：本文表示、折り返し、ホットリロード確認用。,
story,node.ending_002,剧情测试占位 13,测试角色,中文测试占位文案 13：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 13: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 13：本文表示、折り返し、ホットリロード確認用。,
choice,choice.ending_002.01,选项测试占位 04,,中文选项占位 04,,English choice placeholder 04,,日本語選択肢仮文 04,
choice,choice.ending_002.02,选项测试占位 05,,中文选项占位 05,,English choice placeholder 05,,日本語選択肢仮文 05,
